home_team,home_score_gd,home_percent_win,home_percent_points
angers,0.3333,0.33333,0.40741
arsenal,1.1000,0.60000,0.66667
"aston villa",-1.4000,0.20000,0.26667
atalanta,-0.0909,0.27273,0.42424
"athletic club",0.9091,0.54545,0.63636
"atlético de madrid",1.8182,0.81818,0.87879
augsburg,-0.6250,0.12500,0.29167
barcelona,3.2000,0.80000,0.80000
bastia,0.4444,0.55556,0.62963
"bayer leverkusen",0.8750,0.62500,0.66667
"bayern munich",1.7143,0.71429,0.76190
betis,-0.0909,0.45455,0.54545
bologna,-0.1000,0.20000,0.33333
"borussia dortmund",1.8750,0.87500,0.91667
"borussia mönchengladbach",2.2500,0.87500,0.87500
bournemouth,-0.8000,0.30000,0.33333
caen,0.0000,0.44444,0.51852
carpi,0.1000,0.50000,0.56667
"celta de vigo",0.3000,0.50000,0.63333
chelsea,0.1111,0.11111,0.37037
chievo,0.3636,0.36364,0.54545
"crystal palace",-0.7778,0.22222,0.25926
darmstadt,-0.7500,0.12500,0.20833
"deportivo de la coruña",-1.3636,0.09091,0.21212
eibar,0.1000,0.40000,0.46667
"eintracht frankfurt",0.0000,0.44444,0.55556
empoli,0.0000,0.27273,0.42424
espanyol,-0.3636,0.45455,0.54545
everton,0.2222,0.33333,0.40741
fiorentina,0.3000,0.40000,0.53333
frosinone,-0.7000,0.20000,0.30000
"gazélec ajaccio",-1.1000,0.20000,0.30000
genoa,0.8182,0.54545,0.60606
getafe,-0.4000,0.20000,0.33333
"girondins bordeaux",0.3333,0.33333,0.48148
granada,0.3636,0.45455,0.54545
guingamp,0.2000,0.30000,0.43333
hamburg,-0.1111,0.33333,0.40741
hannover,-1.2222,0.22222,0.22222
"hertha berlin",0.2222,0.33333,0.48148
hoffenheim,0.0000,0.55556,0.62963
ingolstadt,0.7778,0.55556,0.66667
inter,0.9000,0.70000,0.73333
juventus,2.1818,1.00000,1.00000
köln,-0.3750,0.25000,0.29167
"las palmas",0.5000,0.40000,0.50000
lazio,0.3000,0.50000,0.53333
leicester,1.4000,0.70000,0.80000
levante,0.4000,0.60000,0.66667
lille,0.6000,0.50000,0.63333
liverpool,1.1000,0.40000,0.56667
lorient,-0.1111,0.33333,0.44444
mainz,0.7143,0.57143,0.66667
málaga,0.7273,0.45455,0.54545
"manchester city",1.0000,0.44444,0.51852
"manchester united",1.1000,0.80000,0.83333
milan,0.2727,0.36364,0.48485
mónaco,1.2000,0.70000,0.76667
montpellier,0.3333,0.44444,0.44444
nantes,0.1000,0.50000,0.56667
napoli,2.3636,0.90909,0.93939
newcastle,0.8889,0.55556,0.66667
nice,1.2000,0.80000,0.83333
norwich,-0.5000,0.30000,0.36667
"olympique lyon",2.2000,0.80000,0.86667
"olympique marseille",-0.3333,0.11111,0.33333
palermo,-0.4000,0.30000,0.36667
psg,2.3636,0.72727,0.78788
"rayo vallecano",0.5000,0.50000,0.60000
"real madrid",3.4000,0.90000,0.90000
"real sociedad",0.4545,0.45455,0.54545
rennes,0.2000,0.40000,0.50000
roma,1.4545,0.63636,0.75758
"saint étienne",0.3333,0.44444,0.51852
sampdoria,-0.3000,0.30000,0.36667
sassuolo,0.0833,0.33333,0.47222
"schalke 04",0.2500,0.37500,0.50000
sevilla,0.8000,0.70000,0.73333
southampton,1.4444,0.77778,0.81481
"sporting de gijón",0.1667,0.41667,0.47222
"stade de reims",0.3333,0.44444,0.48148
"stoke city",-0.3000,0.40000,0.50000
stuttgart,-0.3750,0.37500,0.37500
sunderland,0.4000,0.40000,0.53333
swansea,0.3333,0.55556,0.62963
torino,-0.5000,0.20000,0.30000
tottenham,1.0000,0.55556,0.62963
toulouse,0.7000,0.40000,0.46667
troyes,-1.8750,0.12500,0.16667
udinese,-0.4545,0.36364,0.42424
valencia,-0.4545,0.27273,0.33333
verona,-0.1000,0.40000,0.46667
villarreal,0.6000,0.50000,0.60000
watford,-0.1111,0.22222,0.37037
"werder bremen",0.8750,0.37500,0.54167
"west bromwich",-0.2222,0.33333,0.44444
"west ham",0.6000,0.60000,0.70000
wolfsburg,-0.1429,0.28571,0.42857
